No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
154;Telur Ayam;14/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26000
155;Telur Ayam;14/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
156;Telur Ayam;14/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25000
157;Telur Ayam;14/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24500
158;Telur Ayam;14/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
159;Telur Ayam;14/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
160;Telur Ayam;14/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25000
161;Telur Ayam;14/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24250
162;Telur Ayam;14/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24000
163;Telur Ayam;15/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;25000
164;Telur Ayam;15/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;25000
165;Telur Ayam;15/01/2019;Jawa Barat;Kota Depok;Pasar Agung;24250
166;Telur Ayam;15/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;25500
167;Telur Ayam;15/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;25500
168;Telur Ayam;15/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26000
169;Telur Ayam;15/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;22750
170;Telur Ayam;15/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;23250
171;Telur Ayam;15/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;25500
172;Telur Ayam;15/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26000
173;Telur Ayam;15/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;23500
174;Telur Ayam;15/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25000
175;Telur Ayam;15/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24500
176;Telur Ayam;15/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
177;Telur Ayam;15/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
178;Telur Ayam;15/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25000
179;Telur Ayam;15/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24250
180;Telur Ayam;15/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;23000
181;Telur Ayam;16/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;25000
182;Telur Ayam;16/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;25000
183;Telur Ayam;16/01/2019;Jawa Barat;Kota Depok;Pasar Agung;24250
184;Telur Ayam;16/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;24500
185;Telur Ayam;16/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;25500
186;Telur Ayam;16/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26000
187;Telur Ayam;16/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;22750
188;Telur Ayam;16/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;22750
189;Telur Ayam;16/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;25500
190;Telur Ayam;16/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;25500
191;Telur Ayam;16/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;23500
192;Telur Ayam;16/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25000
193;Telur Ayam;16/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24500
194;Telur Ayam;16/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
195;Telur Ayam;16/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
196;Telur Ayam;16/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;24000
197;Telur Ayam;16/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24250
198;Telur Ayam;16/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;23000
199;Telur Ayam;17/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;25000
200;Telur Ayam;17/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;25000
201;Telur Ayam;17/01/2019;Jawa Barat;Kota Depok;Pasar Agung;24000
202;Telur Ayam;17/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;24500
203;Telur Ayam;17/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;25500
204;Telur Ayam;17/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;25000
205;Telur Ayam;17/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;22250
206;Telur Ayam;17/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;22750
207;Telur Ayam;17/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;25500
208;Telur Ayam;17/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;25500
209;Telur Ayam;17/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;23000
210;Telur Ayam;17/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25000
211;Telur Ayam;17/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24500
212;Telur Ayam;17/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
213;Telur Ayam;17/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
214;Telur Ayam;17/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;24000
215;Telur Ayam;17/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24250
216;Telur Ayam;17/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;23000
217;Telur Ayam;18/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;24000
218;Telur Ayam;18/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;25000
219;Telur Ayam;18/01/2019;Jawa Barat;Kota Depok;Pasar Agung;23750
220;Telur Ayam;18/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;24500
221;Telur Ayam;18/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;25500
222;Telur Ayam;18/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;25000
223;Telur Ayam;18/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;22250
224;Telur Ayam;18/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;22750
225;Telur Ayam;18/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;25500
226;Telur Ayam;18/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;25500
227;Telur Ayam;18/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;23000
228;Telur Ayam;18/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;24000
229;Telur Ayam;18/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24500
230;Telur Ayam;18/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
231;Telur Ayam;18/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
232;Telur Ayam;18/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;23500
233;Telur Ayam;18/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24000
234;Telur Ayam;18/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;23000
235;Telur Ayam;21/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;24000
236;Telur Ayam;21/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;24500
237;Telur Ayam;21/01/2019;Jawa Barat;Kota Depok;Pasar Agung;23000
238;Telur Ayam;21/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;24500
239;Telur Ayam;21/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;25000
240;Telur Ayam;21/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;24500
241;Telur Ayam;21/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;22500
242;Telur Ayam;21/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;22750
243;Telur Ayam;21/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;24500
244;Telur Ayam;21/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26000
245;Telur Ayam;21/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;23000
246;Telur Ayam;21/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;24000
247;Telur Ayam;21/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24500
248;Telur Ayam;21/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
249;Telur Ayam;21/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
250;Telur Ayam;21/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;23500
251;Telur Ayam;21/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24000
252;Telur Ayam;21/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;23000
253;Telur Ayam;22/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;24000
254;Telur Ayam;22/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;24000
255;Telur Ayam;22/01/2019;Jawa Barat;Kota Depok;Pasar Agung;22750
256;Telur Ayam;22/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;24500
257;Telur Ayam;22/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;25000
258;Telur Ayam;22/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;24000
259;Telur Ayam;22/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;22500
260;Telur Ayam;22/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;22750
261;Telur Ayam;22/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;24500
262;Telur Ayam;22/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26000
263;Telur Ayam;22/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;23000
264;Telur Ayam;22/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;24000
265;Telur Ayam;22/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24500
266;Telur Ayam;22/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
267;Telur Ayam;22/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
268;Telur Ayam;22/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;23000
269;Telur Ayam;22/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;23000
270;Telur Ayam;22/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;23000
271;Telur Ayam;23/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;24000
272;Telur Ayam;23/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;24000
273;Telur Ayam;23/01/2019;Jawa Barat;Kota Depok;Pasar Agung;22750
274;Telur Ayam;23/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;24500
275;Telur Ayam;23/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;25000
276;Telur Ayam;23/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;24000
277;Telur Ayam;23/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;22500
278;Telur Ayam;23/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;22750
