No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
121;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;43000
122;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;41000
123;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;49000
124;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;50000
125;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;40000
126;Cabai Rawit Merah;10/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;45000
127;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;45000
128;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;40000
129;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Depok;Pasar Agung;47500
130;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;37500
131;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;50000
132;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;50000
133;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;35000
134;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;45000
135;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;44500
136;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;39000
137;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;55500
138;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;55000
139;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;42000
