No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
253;Bawang Merah;22/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;31500
254;Bawang Merah;22/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;24000
255;Bawang Merah;22/01/2019;Jawa Barat;Kota Depok;Pasar Agung;30000
256;Bawang Merah;22/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;19000
257;Bawang Merah;22/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;31500
258;Bawang Merah;22/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;20000
259;Bawang Merah;22/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;25000
260;Bawang Merah;22/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24500
261;Bawang Merah;22/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;24500
262;Bawang Merah;22/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;24000
263;Bawang Merah;22/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
264;Bawang Merah;22/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;24000
265;Bawang Merah;22/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24000
266;Bawang Merah;22/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;25000
267;Bawang Merah;22/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;20000
268;Bawang Merah;22/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;21000
269;Bawang Merah;22/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26000
270;Bawang Merah;22/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;27000
271;Bawang Merah;23/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;31500
272;Bawang Merah;23/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;24000
273;Bawang Merah;23/01/2019;Jawa Barat;Kota Depok;Pasar Agung;30000
274;Bawang Merah;23/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;19000
275;Bawang Merah;23/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;30500
276;Bawang Merah;23/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;20000
277;Bawang Merah;23/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;25000
278;Bawang Merah;23/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24500
279;Bawang Merah;23/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;24500
280;Bawang Merah;23/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;24000
281;Bawang Merah;23/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;23500
282;Bawang Merah;23/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;22500
283;Bawang Merah;23/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24000
284;Bawang Merah;23/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24000
285;Bawang Merah;23/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;20000
286;Bawang Merah;23/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;21000
